980w,元大西屯
9812,元大台中
9813,元大八德
9814,元大大益
9815,元大永康
9816,元大新竹
9817,元大東泰
9819,元大桃園
981A,元大鶯歌
981B,元大竹北
981C,元大路竹
981D,元大南投
981E,元大發財
981F,元大福營
981G,元大彰化
981I,元大天母
981J,元大高福
981K,元大林園
981L,元大莒光
981M,元大苗栗
981N,元大金門
981Q,元大太平
981R,元大竹山
981S,元大崇德
981U,元大華山
981V,元大民雄
981X,元大東門
981Z,元大潮州
981a,元大歸仁
981e,元大佳里
981g,元大大里
981h,元大屏生
981i,元大西螺
981j,元大士林
981m,元大新興
981n,元大旗山
981p,元大松山
981q,元大艋舺
981r,元大屏南
981y,元大善化
981z,元大大統
9821,元大敦信
9822,元大學府
9824,元大向上
9825,元大新營
9826,元大府中
9829,元大南康
982A,元大羅東
982B,元大博愛
982C,元大六合
982F,元大忠鼎
9831,元大四維
9833,元大敦化
9834,元大中壢
9835,元大員林
9836,元大重慶
9837,元大北港
9838,元大豐原
983B,元大林森
983G,元大上新
983J,元大新東
983K,元大學甲
983M,元大木柵
983N,元大大安
983U,元大頭份
983V,元大竹南
983W,元大德芳
983Z,元大鳳山
983e,元大劍潭
983f,元大竹東
983i,元大民興
983j,元大仁愛
984B,元大松南
984C,元大新中
984E,元大南勢
984H,元大景美
984K,元大館前
984U,元大延平
9852,元大大松
9853,元大南屯
9854,元大文心
9856,元大花蓮
9857,元大東蘆
9858,元大龍潭
9859,元大經國
985C,元大鳳中
9862,元大南京
9863,元大新和
9865,元大長榮
9866,元大樹板
9867,元大北成
9868,元大水湳
9869,元大新盛
986A,元大七賢
986K,元大基孝
9871,元大忠孝
9872,元大復北
9873,元大西門
9874,元大雙和
9875,元大永寧
9876,元大前金
9877,元大金天
9878,元大赤崁
9879,元大板三
987A,元大楊梅
987D,元大新壢
9883,元大中華
9884,元大鎮北
9886,元大公館
9888,元大鑫永
9889,元大北員
988B,元大藝文
988C,元大三重
9891,元大永和
9892,元大屏東
9893,元大大天
9894,元大北桃
9896,元大台南
9897,元大土城
9898,元大新莊
9899,元大淡水
989A,元大北投
989B,元大中港
989C,元大板橋
989D,元大左營
989E,元大草屯
989F,元大高雄
989G,元大大同
989I,元大蘆洲
989J,元大彰生
989L,元大成功
989N,元大內湖
989P,元大敦南
989Q,元大汐止
989S,元大鹿港
989U,元大大甲
989V,元大北重
989W,元大站前
989X,元大民生
989Y,元大基隆
989Z,元大小港
989a,元大苑裡
989d,元大北屯
989e,元大中和
989f,元大東港
989g,元大嘉義
989i,元大西湖
989j,元大樹林
989k,元大古亭
989m,元大信義
9A00,永豐金
9A61,永豐鳳山
9A68,永豐五權
9A69,永豐屏東
9A8F,永豐敦南
9A91,永豐松山
9A92,永豐萬盛
9A93,永豐大稻
9A96,永豐博愛
9A97,永豐新竹
9A98,永豐大園
9A99,永豐中壢
9A9A,永豐羅東
9A9B,永豐中和
9A9C,永豐員林
9A9D,永豐忠孝
9A9E,永豐板橋
9A9F,永豐安和
9A9G,永豐天母
9A9H,永豐新莊
9A9J,永豐板新
9A9K,永豐三重
9A9L,永豐台中
9A9M,永豐南投
9A9N,永豐桃盛
9A9P,永豐竹北
9A9Q,永豐豐原
9A9R,永豐信義
9A9S,永豐南京
9A9U,永豐中正
9A9V,永豐三民
9A9W,永豐南中
9A9X,永豐竹科
9A9Y,永豐板盛
9A9Z,永豐復興
9A9a,永豐苓雅
9A9b,永豐虎尾
9A9c,永豐永康
9A9d,永豐古亭
9A9e,永豐高雄
9A9f,永豐中盛
9A9g,永豐內湖
9A9h,永豐台南
9A9i,永豐新店
9A9j,永豐嘉義
9A9k,永豐桃中
9A9m,永豐板南
9A9p,永豐府城
9A9q,永豐潮洲
9A9r,永豐鹽埕
9A9s,永豐彰化
9A9v,永豐光復
9A9x,永豐桃園
